Period,Sales
200510,1730647.656
200511,1884308.124
200512,1784577.816
200601,2494512.144
200602,2134785.492
200603,2096861.268
200701,2109587.892
200702,1181066.94
200703,1676021.544
200704,1258249.776
200705,2081892.216
200706,1324409.664
200707,1353019.968
200708,2095001.34
200709,2092008.384
200710,1303673.052
200711,4522110.3
200712,3930604.596
200801,1113824.424
200802,1562675.952
200803,1288397.664
200804,1271494.8
200805,1194095.676
200806,1987516.428
200807,1582665.576
200808,447673.908
200809,1357922.352
200810,1011203.328
200811,442578.072
200812,844905.276
200901,115412.736
200902,239688.132
200903,254191.788
200904,203874.564
200905,194826.6
200906,360094.764
200907,340365.84
200908,429936.948
200909,688948.488
200910,959131.428
200911,1114316.76
200912,1131652.716
201001,1214734.704
201002,1870836.924
201003,2209425.78
201004,1616913.924
201005,1544571.876
201006,2235995.484
201007,1346370.708
201008,1783477.056
201009,1865456.052
201010,1078413.9
201011,1288088.604
201012,1205132.436
201101,578754.132
201102,887301.12
201103,1469008.212
201104,1893737.46
201105,2166761.304
201106,2080099.14
201107,736317.888
201108,688705.932
201109,235161.216
201110,740620.62
201111,830259.252
201112,406761.288
201201,832267.584
201202,911061.12
201203,846921.3
201204,1358230.38
201205,840467.292
201206,1146768.06
201207,648124.044
201208,808062.432
201209,684144.48
201210,721061.568
201211,548365.464
201212,1230420.06
201301,1915781.532
201302,687452.388
201303,1301159.184
201304,3193763.172
201305,1195909.44
201306,1857451.8
201307,2669000.676
201308,1466765.556
201309,1476860.472
201310,1873785.024
201311,2050147.08
201312,1980215.364
201401,2214115.368
201402,2270388.816
201403,1443483.42
201404,2438564.34
201405,1386650.64
201406,2081556.96
201407,2207228.172
201408,2245371.468
201409,3001019.508
201410,3571106.676
201411,986639.64
201412,2101498.176
201501,3090080.616
201502,2563522.164
201503,2360149.548
201504,1308048.3
201505,1994211.768
201506,3219269.82
201507,2132467.896
201508,1493323.416
201509,1377480.48
201510,2172456.396
201511,1333718.46
201512,1742266.98
201601,2286679.728
201602,1769472.672
201603,2416831.452
201604,1572837.684
201605,2576736.024
201606,1542632.028
201607,2444024.268
201608,1993887.876
201609,3588996.024
201610,2535966.456
201611,3172738.548
201612,2932821.6
201701,3206663.676
201702,2407555.104
201703,2580356.532
201704,3019339.536
201705,2426285.508
201706,2753816.436
201707,1528411.704
201708,2536033.044
201709,2050931.508
201710,1682650.38
201711,3157672.824
201712,3528703.392
201801,3479315.076
201802,2724186.744
201803,2472264.972
201804,3449933.052
201805,2869744.32
201806,2524760.58
201807,2320258.644
201808,3192898.872
